City_ID,City,Lat,Lng,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Iqaluit,63.7506,-68.5145,8.85,76,40,2.57,CA,1720631878
1,Wailua Homesteads,22.0669,-159.378,24.44,86,0,7.2,US,1720631878
2,Atafu Village,-8.5421,-172.5159,28.73,69,95,7.12,TK,1720631878
3,Manokwari,-0.8667,134.0833,25.04,83,75,1.91,ID,1720631878
4,Xining,36.6167,101.7667,15.5,80,75,0.47,CN,1720631878
5,Mogador,31.5125,-9.77,29.72,54,0,7.72,MA,1720631878
6,Pingzhuang,42.0372,119.2889,21.35,35,61,2.12,CN,1720631879
7,Bilibino,68.0546,166.4372,3.7,77,3,2.65,RU,1720631879
8,Idrī,27.5,13.2667,42.5,9,0,6.4,LY,1720631879
9,Polyarny,69.1989,33.4478,12.2,66,100,2.29,RU,1720631879
10,Limuru,-1.1,36.65,13.69,87,92,2.35,KE,1720631879
11,Port-aux-Français,-49.35,70.2167,5.46,97,100,15.2,TF,1720631879
12,Saint Paul Harbor,57.79,-152.4072,10.73,93,100,4.12,US,1720631658
13,Carnarvon,-24.8667,113.6333,18.86,72,7,7.32,AU,1720631879
14,Albany,42.6001,-73.9662,32.41,69,100,0.89,US,1720631192
15,Taperoá,-7.2075,-36.8267,26.37,56,95,6.42,BR,1720631716
16,Jamestown,42.097,-79.2353,26.8,83,100,5.66,US,1720631866
17,Grytviken,-54.2811,-36.5092,0.71,98,100,7.29,GS,1720631880
18,Kapuskasing,49.4169,-82.4331,16.05,77,100,4.12,CA,1720631880
19,Lüderitz,-26.6481,15.1594,14.98,80,45,0.4,NA,1720631880
20,Howard Springs,-12.497,131.047,22.95,91,99,0.98,AU,1720631880
21,Port Lincoln,-34.7333,135.8667,14.08,80,100,8.42,AU,1720631880
22,Province of Trapani,37.8333,12.6667,32.38,18,0,5.26,IT,1720631582
23,Blackmans Bay,-43.0167,147.3167,8.07,96,35,0.45,AU,1720631881
24,Okha,53.5739,142.9478,9.5,99,100,2.88,RU,1720631881
25,Kulhudhuffushi,6.6221,73.07,28.48,78,100,4.21,MV,1720631881
26,Waitangi,-43.9535,-176.5597,7.68,92,100,4.47,NZ,1720631881
27,College,64.8569,-147.8028,17.83,69,40,2.57,US,1720631882
28,Cabinda,-5.55,12.2,22.27,81,77,4.26,AO,1720631882
29,Thompson,55.7435,-97.8558,25.09,57,40,4.12,CA,1720631882
30,Boguchany,58.3814,97.4531,16.07,81,52,1.72,RU,1720631882
31,Labrador City,52.9463,-66.9114,17.95,63,75,1.54,CA,1720631711
32,Beira,-19.8436,34.8389,19.05,88,0,2.06,MZ,1720631882
33,Cam Ranh,11.9214,109.1591,27.98,74,20,2.06,VN,1720631882
34,Ilulissat,69.2167,-51.1,6.01,93,100,3.09,GL,1720631882
35,San Luis de la Loma,17.2706,-100.8939,26.73,83,100,2.29,MX,1720631883
36,Ribeira Grande,38.5167,-28.7,26.22,61,20,6.71,PT,1720631883
37,Ciudad Bolivar,8.1222,-63.5497,32.52,52,68,3.54,VE,1720631883
38,Cabo San Lucas,22.8909,-109.9124,33.12,61,20,2.06,MX,1720631756
39,Túxpam de Rodríguez Cano,20.95,-97.4,26.9,92,100,1.65,MX,1720631883
40,Zhob,31.3411,69.4481,33.25,32,72,6.6,PK,1720631883
41,Eilat,29.5581,34.9482,35.91,26,0,5.14,IL,1720631725
42,Lorengau,-2.0226,147.2712,27.62,84,86,4.27,PG,1720631883
43,Salekhard,66.53,66.6019,22.82,58,61,4.11,RU,1720631883
44,Zhizdra,53.746,34.7395,21.37,75,0,2.54,RU,1720631884
45,Bethel,41.3712,-73.414,31.47,79,75,4.12,US,1720631884
46,Papatowai,-46.5619,169.4708,6.69,89,0,1.15,NZ,1720631884
47,Edinburgh of the Seven Seas,-37.0676,-12.3116,10.15,53,76,10.44,SH,1720631884
48,Port Augusta,-32.5,137.7667,13.82,60,98,9.9,AU,1720631884
49,Lihue,21.9789,-159.3672,24.77,82,0,7.2,US,1720631884
50,Ishim,56.1128,69.4902,21.13,80,74,3.28,RU,1720631884
51,Penugonda,16.6667,81.7333,27.93,79,100,1.77,IN,1720631884
52,Margaret River,-33.95,115.0667,13.73,59,81,5.09,AU,1720631885
53,Altay,47.8667,88.1167,15.57,74,34,2.55,CN,1720631885
54,Andergrove,-21.0833,149.1833,14.71,90,2,3.96,AU,1720631885
55,Port Alfred,-33.5906,26.891,19.65,48,78,5.3,ZA,1720631885
56,San Juan,-31.5375,-68.5364,8.01,45,4,2.32,AR,1720631506
57,Al Bahah,20.0129,41.4677,30.68,25,99,1.46,SA,1720631885
58,Zahedan,29.4963,60.8629,32.95,17,100,7.2,IR,1720631885
59,Porbandar,21.6422,69.6093,29.09,83,71,5.78,IN,1720631885
60,Adamstown,-25.066,-130.1015,20.04,61,95,5.66,PN,1720631886
61,El Quebrachal,-25.2833,-64.0667,11.04,39,98,2.57,AR,1720631886
62,West Island,-12.1568,96.8225,27.99,83,40,7.72,CC,1720631886
63,Balqash,46.8481,74.995,24.58,38,0,3.02,KZ,1720631886
64,Santo Domingo Petapa,16.8181,-95.1403,26.2,76,100,3.28,MX,1720631886
65,Yellowknife,62.456,-114.3525,18.29,48,75,0.0,CA,1720631886
66,Kikwit,-5.041,18.8162,29.31,16,46,1.21,CD,1720631886
67,Çivril,38.3014,29.7386,27.97,35,91,3.83,TR,1720631887
68,Altamont,42.2068,-121.7372,27.77,43,0,0.89,US,1720631887
69,East London,-33.0153,27.9116,16.52,77,0,2.06,ZA,1720631710
70,Happy Valley-Goose Bay,53.3168,-60.3315,21.17,64,75,4.63,CA,1720631887
71,Tangalle,6.024,80.7911,26.78,83,100,4.82,LK,1720631887
72,Ushuaia,-54.8,-68.3,3.81,65,75,12.35,AR,1720631887
73,Kėdainiai,55.2883,23.9747,29.26,61,6,5.65,LT,1720631887
74,Tomatlán,19.9333,-105.25,32.0,60,94,1.72,MX,1720631887
75,Bārah,13.7,30.3667,30.2,51,98,2.88,SD,1720631888
76,Karratha,-20.7377,116.8463,23.52,50,4,3.13,AU,1720631888
77,Banda Aceh,5.5577,95.3222,27.3,79,100,7.47,ID,1720631888
78,Iskateley,67.6803,53.1512,9.73,92,98,6.77,RU,1720631888
79,Mount Gambier,-37.8333,140.7667,12.15,56,100,5.85,AU,1720631888
80,Zaysan,47.4667,84.8667,17.99,57,38,2.77,KZ,1720631888
81,Vorgashor,67.5833,63.95,21.27,58,72,2.53,RU,1720631888
82,Kailua-Kona,19.6406,-155.9956,23.66,89,0,0.45,US,1720631889
83,Isangel,-19.55,169.2667,22.71,82,100,7.95,VU,1720631889
84,Belyy Yar,53.6039,91.3903,15.94,94,0,1.0,RU,1720631889
85,Rabak,13.1809,32.74,32.74,40,97,3.17,SD,1720631889
86,Codrington,-38.2667,141.9667,11.96,62,100,9.32,AU,1720631889
87,Avarua,-21.2078,-159.775,19.03,88,75,1.54,CK,1720631889
88,Coyhaique,-45.5752,-72.0662,6.34,96,97,0.82,CL,1720631728
89,Chonchi,-42.6128,-73.8092,9.56,84,100,2.68,CL,1720631786
90,Chinde,26.8212,87.7095,24.52,89,99,1.28,NP,1720631890
91,Afaahiti,-17.75,-149.2833,22.93,78,100,2.06,PF,1720631890
92,Vadsø,70.0744,29.7487,15.49,76,75,4.12,NO,1720631890
